,#,선수명,팀명,승,패,세,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR,기록년도,플레이어 id,완투,완봉,타자,안타,홈런,실점,자책,삼진,볼넷,고4,HBP,폭투,보크,PK,삼진%,볼넷%,삼/볼,피안타율,피출루율,WHIP
59,5,계형철,OB,14,4,0,29,7,174.7,4.74,3.25,0.41,0.242,83.10,2.06,6.16,2.84,2.87,3.43,1984,1520,6,1,701,135,8,44,40,92,63,1,7,4,0,0,13.1,9.0,1.46,0.217,0.288,1.13
60,6,김시진,삼성,19,11,2,39,20,215.0,6.45,4.69,0.59,0.270,73.70,3.18,2.03,3.05,3.27,2.93,1984,1651,11,2,910,178,14,94,76,154,112,2,13,8,0,0,16.9,12.3,1.38,0.231,0.327,1.35
61,7,김용남,해태,7,11,1,31,12,132.7,4.61,1.29,0.68,0.279,68.30,3.05,1.26,2.55,2.55,2.87,1984,1659,6,2,547,133,10,58,45,68,19,0,1,1,0,0,12.4,3.5,3.58,0.258,0.283,1.15
62,8,최일언,OB,9,6,3,37,11,167.7,4.62,3.49,0.32,0.268,75.40,2.84,2.91,2.81,2.83,2.65,1984,2385,2,0,695,145,6,60,53,86,65,3,8,8,0,0,12.4,9.4,1.32,0.240,0.311,1.25
63,9,하기룡,MBC,15,8,1,30,22,178.7,4.08,2.97,0.35,0.283,74.20,2.82,2.57,2.96,2.92,2.62,1984,2434,11,3,751,171,7,70,56,81,59,2,13,6,0,0,10.8,7.9,1.37,0.259,0.317,1.29
64,10,최계훈,삼미,8,8,9,34,23,137.3,6.49,3.60,0.59,0.301,69.80,3.54,0.07,2.63,2.84,2.60,1984,2363,4,0,589,132,9,67,54,99,55,2,6,1,2,0,16.8,9.3,1.80,0.259,0.327,1.36
65,11,김봉근,MBC,9,7,2,32,16,171.3,3.15,1.94,0.47,0.244,72.00,2.52,3.11,2.97,2.82,2.50,1984,1618,7,1,681,146,9,62,48,60,37,3,6,1,1,0,8.8,5.4,1.62,0.233,0.274,1.07
66,12,윤석환,OB,12,8,25,57,44,146.0,6.84,2.65,1.05,0.226,80.60,2.84,2.67,2.76,3.00,2.09,1984,2092,0,0,581,108,17,49,46,111,43,4,3,3,1,0,19.1,7.4,2.58,0.205,0.264,1.03
67,13,유종겸,MBC,8,10,4,38,21,183.7,4.21,2.55,0.64,0.280,72.30,3.53,1.46,3.07,3.04,2.04,1984,2073,6,0,770,181,13,79,72,86,52,1,5,4,1,0,11.2,6.8,1.65,0.260,0.310,1.27
68,14,황규봉,삼성,10,2,4,30,16,108.0,4.00,2.00,0.33,0.292,73.10,3.25,1.24,2.65,2.59,1.78,1984,2467,2,1,452,109,4,42,39,48,24,1,8,2,0,0,10.6,5.3,2.00,0.266,0.306,1.23
69,15,오영일,MBC,15,14,3,40,31,239.7,3.45,2.97,0.60,0.284,77.40,3.08,3.60,3.47,3.37,1.52,1984,2049,14,2,1004,239,16,92,82,92,79,2,13,3,0,0,9.2,7.9,1.16,0.269,0.327,1.33
70,16,배경환,롯데,6,5,2,35,11,121.7,4.36,2.07,0.74,0.305,71.90,3.48,0.42,3.07,3.05,1.32,1984,1892,2,0,516,134,10,57,47,59,28,0,5,2,0,0,11.4,5.4,2.11,0.283,0.321,1.33
71,17,장호연,OB,5,3,1,31,18,102.3,4.13,3.08,0.26,0.238,73.30,1.58,1.67,2.78,2.75,1.26,1984,2254,0,0,407,77,3,34,18,47,35,0,4,3,0,0,11.5,8.6,1.34,0.214,0.283,1.09
72,18,주동식,해태,6,5,0,18,10,83.3,2.92,2.27,0.43,0.255,81.20,2.27,2.29,3.01,2.84,1.07,1984,2337,4,2,333,74,4,23,21,27,21,4,3,0,0,0,8.1,6.3,1.29,0.242,0.291,1.14
73,19,방수원,해태,1,8,0,25,6,66.0,4.09,2.73,0.27,0.286,58.50,3.82,-0.57,2.85,2.81,1.01,1984,1891,1,1,280,64,2,39,28,30,20,0,6,0,0,0,10.7,7.1,1.50,0.259,0.312,1.27
74,20,권영호,삼성,6,8,2,29,7,137.3,3.41,3.74,0.52,0.265,75.90,3.28,2.08,3.51,3.41,0.85,1984,1551,2,0,574,124,8,53,50,52,57,3,4,0,1,0,9.1,9.9,0.91,0.251,0.327,1.32
75,21,조도연,해태,4,6,2,35,12,129.0,4.38,3.06,0.77,0.271,70.30,3.34,0.28,3.35,3.34,0.75,1984,2312,3,0,547,122,11,61,48,63,44,1,3,9,0,0,11.5,8.0,1.43,0.256,0.314,1.28
76,22,강만식,해태,11,4,0,28,6,129.7,4.16,2.50,0.97,0.263,73.90,3.26,1.06,3.61,3.57,0.67,1984,1504,3,0,540,124,14,58,47,60,36,2,7,1,0,0,11.1,6.7,1.67,0.253,0.302,1.23
77,23,박상열,OB,12,7,0,30,6,133.0,3.18,3.32,0.54,0.245,80.20,2.57,3.23,3.67,3.55,0.63,1984,1841,1,0,532,108,8,42,38,47,49,0,10,1,0,0,8.8,9.2,0.96,0.235,0.307,1.18
78,24,김진욱,OB,6,11,2,25,8,118.0,3.28,4.42,0.38,0.264,72.60,3.05,1.08,3.70,3.59,0.57,1984,1706,5,1,508,107,5,53,40,43,58,4,10,3,1,0,8.5,11.4,0.74,0.248,0.335,1.40
79,25,문희수,해태,0,0,0,5,2,12.7,9.95,3.55,0.00,0.343,66.70,4.26,-0.02,0.78,1.35,0.55,1984,1811,0,0,55,12,0,6,6,14,5,0,1,1,0,0,25.5,9.1,2.80,0.245,0.315,1.34
80,26,안창완,롯데,3,3,0,27,4,70.0,5.01,3.60,0.77,0.304,87.70,1.67,1.60,3.41,3.47,0.27,1984,2007,0,0,297,72,6,20,13,39,28,0,3,2,1,0,13.1,9.4,1.39,0.276,0.345,1.43
81,27,임호균,롯데,10,9,0,27,12,161.7,2.45,4.45,0.50,0.260,76.80,2.95,2.62,4.02,3.82,0.26,1984,2232,9,0,692,151,9,64,53,44,80,2,3,2,0,0,6.4,11.6,0.55,0.253,0.340,1.43
82,28,성낙수,삼성,0,2,0,6,5,15.3,2.35,2.93,0.00,0.356,63.00,4.11,-0.29,2.63,2.40,0.23,1984,1934,0,0,71,21,0,10,7,4,5,2,1,1,1,0,5.6,7.0,0.80,0.339,0.382,1.70
83,29,천창호,롯데,1,2,1,18,3,47.0,4.21,3.26,0.57,0.329,65.10,5.17,-0.87,3.40,3.37,0.23,1984,2361,0,0,218,58,3,31,27,22,17,2,6,0,0,0,10.1,7.8,1.29,0.302,0.359,1.60
84,30,박정후,삼미,5,11,0,31,9,139.0,3.88,4.53,0.58,0.282,77.00,3.50,1.66,3.89,3.85,0.20,1984,1863,2,0,586,129,9,58,54,60,70,1,11,6,3,0,10.2,11.9,0.86,0.264,0.352,1.43
85,31,황기선,해태,4,7,1,38,22,124.3,4.71,3.98,0.72,0.256,65.00,3.76,-1.21,3.53,3.56,0.13,1984,2468,2,0,536,110,10,70,52,65,55,5,9,5,0,0,12.1,10.3,1.18,0.238,0.317,1.33
86,32,이광권,MBC,1,3,0,13,7,50.3,2.50,3.93,0.36,0.309,78.20,2.68,0.75,3.72,3.53,0.11,1984,2107,1,0,212,53,2,19,15,14,22,0,2,0,0,0,6.6,10.4,0.64,0.296,0.369,1.49
87,33,황태환,OB,0,2,0,17,6,40.0,4.28,3.38,0.68,0.282,84.00,2.48,0.81,3.46,3.44,0.09,1984,2472,0,0,159,36,3,12,11,19,15,0,2,0,0,0,11.9,9.4,1.27,0.263,0.331,1.28
88,34,전용권,삼성,0,2,1,13,10,26.3,2.05,3.76,0.00,0.283,66.70,4.44,-0.08,3.40,3.17,0.06,1984,2260,0,0,112,26,0,13,13,6,11,0,2,1,1,0,5.4,9.8,0.55,0.268,0.339,1.41
89,35,조용철,롯데,0,0,0,2,2,2.0,9.00,9.00,0.00,0.429,80.00,0.00,-0.01,2.61,3.14,0.03,1984,2322,0,0,11,3,0,1,0,2,2,0,0,0,1,0,18.2,18.2,1.00,0.333,0.455,2.50
90,36,박영진,삼성,0,0,0,1,0,1.0,0.00,9.00,0.00,0.600,50.00,18.00,-0.15,2.62,2.14,0.01,1984,1850,0,0,6,3,0,2,2,0,1,1,0,0,0,0,0.0,16.7,0.00,0.600,0.667,4.00
91,37,감사용,삼미,0,0,0,1,1,2.3,0.00,3.86,0.00,0.250,100.00,0.00,0.13,3.87,3.43,-0.01,1984,1499,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0.0,11.1,0.00,0.250,0.333,1.29
92,38,김덕열,삼미,0,0,0,2,0,2.0,4.50,4.50,0.00,0.500,33.30,18.00,-0.31,4.12,4.14,-0.02,1984,1593,0,0,11,4,0,4,4,1,1,0,1,0,0,0,9.1,9.1,1.00,0.444,0.500,2.50
93,39,진동한,삼성,0,0,0,2,0,5.0,0.00,9.00,0.00,0.063,83.30,1.80,0.20,4.95,4.54,-0.05,1984,2344,0,0,21,1,0,1,1,0,5,1,0,0,0,0,0.0,23.8,0.00,0.063,0.286,1.20
94,40,김재현,삼미,3,4,0,24,9,89.7,4.32,3.11,1.00,0.294,67.20,4.32,-0.85,3.89,3.87,-0.09,1984,1681,0,0,385,96,10,53,43,43,31,0,6,0,0,0,11.2,8.1,1.39,0.280,0.337,1.42
95,41,김상기,삼미,0,0,0,11,6,22.3,2.01,2.82,0.40,0.295,76.70,2.82,0.16,3.87,3.62,-0.10,1984,1621,0,0,94,24,1,9,7,5,7,0,3,0,0,0,5.3,7.4,0.71,0.289,0.341,1.39
96,42,이진우,롯데,0,3,1,10,2,22.3,6.85,3.63,2.01,0.282,48.10,4.84,-1.04,4.49,4.74,-0.22,1984,2195,0,0,104,25,5,21,12,17,9,0,0,1,0,0,16.3,8.7,1.89,0.269,0.333,1.52
97,43,이윤섭,롯데,0,0,0,6,6,10.0,0.90,4.50,0.90,0.289,70.50,5.40,-0.15,5.09,4.74,-0.23,1984,2173,0,0,45,12,1,6,6,1,5,0,0,0,0,0,2.2,11.1,0.20,0.316,0.378,1.70
98,44,강철원,OB,0,0,0,3,0,3.7,0.00,7.36,2.45,0.214,53.60,7.36,-0.22,8.56,8.14,-0.23,1984,1515,0,0,18,4,1,4,3,0,3,0,0,0,0,0,0.0,16.7,0.00,0.286,0.389,1.91
99,45,권기홍,삼성,0,0,0,3,1,8.0,0.00,4.50,1.13,0.258,55.60,7.88,-0.34,5.72,5.27,-0.25,1984,1545,0,0,37,9,1,7,7,0,4,1,1,0,0,0,0.0,10.8,0.00,0.281,0.361,1.63
100,46,송진호,삼성,0,1,0,12,6,33.0,3.82,7.36,0.27,0.262,60.10,5.45,-0.88,4.17,4.14,-0.27,1984,1963,0,0,153,29,1,24,20,14,27,2,2,2,0,0,9.2,17.6,0.52,0.238,0.376,1.70
101,47,이선희,삼성,2,4,0,17,4,51.7,4.01,4.01,1.05,0.313,70.10,4.53,-0.54,4.31,4.27,-0.36,1984,2149,0,0,225,58,6,31,26,23,23,0,3,2,0,0,10.2,10.2,1.00,0.305,0.372,1.57
102,48,김현재,해태,0,0,0,4,2,6.7,5.40,8.10,2.70,0.261,53.60,2.70,-0.50,7.40,7.54,-0.36,1984,1727,0,0,35,8,2,8,2,4,6,0,0,0,0,0,11.4,17.1,0.67,0.286,0.400,2.10
103,49,김재열,롯데,1,1,1,15,8,36.0,3.50,4.25,1.00,0.271,74.90,4.00,-0.12,4.40,4.31,-0.43,1984,1680,0,0,158,36,4,18,16,14,17,1,2,1,0,0,8.9,10.8,0.82,0.269,0.346,1.47
104,50,박덕용,롯데,1,2,0,6,1,19.0,1.89,3.32,1.89,0.239,74.80,5.21,-0.12,5.83,5.56,-0.48,1984,1828,0,0,82,20,4,11,11,4,7,0,0,0,0,0,4.9,8.5,0.57,0.267,0.329,1.42
105,51,정순명,MBC,0,3,0,8,0,22.7,2.78,6.75,1.19,0.273,63.50,7.15,-0.59,5.76,5.63,-0.51,1984,2284,0,0,106,24,3,18,18,7,17,0,1,0,0,0,6.6,16.0,0.41,0.276,0.394,1.81
106,52,이길환,MBC,3,3,0,12,3,50.0,2.70,1.62,1.62,0.305,65.10,4.86,-0.80,4.80,4.60,-0.57,1984,2112,0,0,217,62,9,34,27,15,9,0,3,1,0,0,6.9,4.1,1.67,0.318,0.343,1.42
107,53,오문현,삼미,0,0,0,11,5,29.0,2.17,3.41,1.24,3.030,96.00,5.59,-0.48,5.03,4.80,-0.60,1984,2041,0,0,123,304,4,18,18,7,11,0,2,0,0,0,5.7,8.9,0.64,2.764,2.603,10.86
