,#,선수명,팀명,승,패,세,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR,기록년도,플레이어 id,완투,완봉,타자,안타,홈런,실점,자책,삼진,볼넷,고4,HBP,폭투,보크,PK,삼진%,볼넷%,삼/볼,피안타율,피출루율,WHIP
218,36,황태환,OB,3,3,3,28,1,73.3,4.42,2.58,0.86,0.266,83.70,2.45,1.16,3.16,3.19,0.19,1986,2472,0,0,300,69,7,23,20,36,21,1,1,1,0,0,12.0,7.0,1.71,0.251,0.303,1.23
219,37,김준희,삼성,0,0,0,8,0,13.7,4.61,3.95,0.00,0.380,66.70,5.93,-0.34,2.74,2.81,0.12,1986,1702,0,0,65,19,0,9,9,7,6,0,2,0,0,0,10.8,9.2,1.17,0.345,0.397,1.83
220,38,최계훈,청보,6,14,2,32,18,159.3,3.50,3.78,0.68,0.290,71.60,3.67,-0.17,3.63,3.57,0.12,1986,2363,6,1,688,164,12,79,65,62,67,3,5,3,0,0,9.0,9.7,0.93,0.278,0.347,1.45
221,39,이길환,MBC,1,0,0,4,1,10.0,1.80,0.90,0.00,0.351,68.80,4.50,-0.05,2.82,2.57,0.10,1986,2112,0,0,44,13,0,5,5,2,1,0,2,0,0,0,4.5,2.3,2.00,0.351,0.350,1.40
222,40,예병준,MBC,0,0,0,5,0,11.0,2.45,3.27,0.00,0.422,56.50,8.18,-0.55,2.78,2.62,0.09,1986,2038,0,0,53,19,0,10,10,3,4,0,0,3,0,0,5.7,7.5,0.75,0.413,0.442,2.09
223,41,손문곤,빙그레,2,5,0,28,12,117.0,2.77,3.62,0.46,0.283,73.30,3.38,0.51,3.53,3.41,0.09,1986,1946,3,1,495,118,6,51,44,36,47,0,3,3,0,0,7.3,9.5,0.77,0.274,0.340,1.41
224,42,신동수,해태,0,1,0,9,3,19.0,4.26,2.37,0.95,0.352,44.50,8.53,-1.07,3.27,3.28,0.07,1986,1972,0,0,87,27,2,19,18,9,5,0,0,0,0,0,10.3,5.7,1.80,0.333,0.368,1.68
225,43,임호균,롯데,3,8,0,19,16,89.3,2.72,4.63,0.40,0.296,75.30,3.32,0.63,3.82,3.70,0.06,1986,2232,2,0,395,95,4,40,33,27,46,1,4,4,0,0,6.8,11.6,0.59,0.284,0.367,1.58
226,44,기세봉,OB,0,0,0,1,0,3.0,0.00,0.00,0.00,0.000,0.00,0.00,0.30,2.52,2.07,0.06,1986,1560,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00,0.000,0.000,0.00
227,45,강만식,해태,4,6,2,19,14,72.7,2.97,3.10,0.74,0.321,72.80,4.33,-0.29,3.76,3.64,0.04,1986,1504,1,0,331,91,6,39,35,24,25,2,5,0,0,0,7.3,7.6,0.96,0.310,0.363,1.60
228,46,박동경,삼성,0,0,0,1,0,2.7,6.75,6.75,0.00,0.375,80.00,3.38,0.02,2.51,2.82,0.03,1986,1829,0,0,12,3,0,1,1,2,2,0,0,0,0,0,16.7,16.7,1.00,0.300,0.417,1.88
229,47,김훈기,삼성,0,1,0,3,1,8.0,1.13,3.38,0.00,0.290,66.70,3.38,-0.03,3.24,2.95,0.03,1986,1737,0,0,35,9,0,4,3,1,3,0,0,0,0,0,2.9,8.6,0.33,0.290,0.343,1.50
230,48,오영일,MBC,12,8,0,33,21,132.0,2.93,3.75,0.61,0.283,77.30,3.00,1.26,3.71,3.60,0.02,1986,2049,0,0,569,136,9,54,44,43,55,2,4,0,1,0,7.6,9.7,0.78,0.275,0.344,1.45
231,49,김봉근,청,2,0,4,0,1,0.0,0.00,0.00,0.00,0.854,134.70,16.00,0.00,0.00,0.00,0.00,1986,1618,11,1,51,182,42,15,18,1,3,16,0,2,0,0,2.0,5.9,0.33,0.888,0.881,0.00
232,50,김신부,청,14,0,10,0,3,0.0,0.00,0.00,0.00,0.828,139.20,83.00,0.00,0.00,0.00,0.00,1986,1653,40,10,233,857,220,89,93,1,5,57,5,21,1,0,0.4,2.1,0.20,0.888,0.866,0.00
233,51,김재현,청,2,0,2,0,0,0.0,0.00,0.00,0.00,0.750,250.00,10.00,0.00,0.00,0.00,0.00,1986,1681,5,0,4,22,10,2,10,0,0,4,0,0,0,0,0.0,0.0,0.00,0.846,0.846,0.00
234,52,박형열,OB,0,0,0,2,0,2.7,0.00,3.38,0.00,0.111,50.00,3.38,0.02,3.61,3.20,-0.01,1986,1884,0,0,10,1,0,1,1,0,1,0,0,0,0,0,0.0,10.0,0.00,0.111,0.200,0.75
235,53,신태순,해태,0,0,0,1,0,1.3,0.00,6.75,0.00,0.444,20.00,20.25,-0.31,4.70,4.32,-0.03,1986,1990,0,0,10,4,0,4,3,0,1,0,0,0,0,0,0.0,10.0,0.00,0.444,0.500,3.75
236,54,진동한,삼성,9,4,4,24,10,109.3,3.05,3.38,0.66,0.253,76.60,2.88,1.22,3.60,3.50,-0.05,1986,2344,2,0,457,99,8,42,35,37,41,2,3,1,2,0,8.1,9.0,0.90,0.246,0.314,1.28
237,55,정성만,청보,1,7,0,16,10,47.7,3.78,3.78,0.76,0.378,60.20,6.23,-1.72,3.80,3.77,-0.06,1986,2280,0,0,226,69,4,40,33,20,20,0,3,1,0,0,8.8,8.8,1.00,0.356,0.412,1.87
238,56,신태중,청보,0,1,0,10,1,24.7,2.55,3.65,0.36,0.366,69.50,4.74,-0.45,3.52,3.37,-0.06,1986,1991,0,0,144,35,1,15,13,7,10,0,1,0,0,0,4.9,6.9,0.70,0.350,0.405,1.82
239,57,양일환,삼성,6,3,1,22,12,96.7,3.07,4.38,0.47,0.243,70.60,3.72,0.33,3.70,3.62,-0.06,1986,2017,3,1,409,80,5,44,40,33,47,3,6,2,0,0,8.1,11.5,0.70,0.232,0.322,1.31
240,58,김성한b,해태,0,1,0,1,1,3.0,0.00,9.00,0.00,0.167,40.00,9.00,-0.14,5.43,5.07,-0.06,1986,1640,0,0,15,2,0,3,3,0,3,0,0,0,0,0,0.0,20.0,0.00,0.167,0.333,1.67
241,59,감사용,OB,0,0,0,1,0,3.0,3.00,0.00,3.00,0.222,125.00,3.00,0.04,5.89,5.74,-0.11,1986,1499,0,0,12,3,1,1,1,1,0,0,0,0,0,0,8.3,0.0,0.00,0.273,0.273,1.00
242,60,천성호,청보,0,1,0,5,2,6.3,2.84,4.26,1.42,0.250,58.10,7.11,-0.23,5.03,4.92,-0.14,1986,2360,0,0,30,7,1,5,5,2,3,0,0,0,1,0,6.7,10.0,0.67,0.259,0.333,1.58
243,61,김대현,해태,0,2,0,18,2,53.7,3.35,2.85,0.84,0.270,68.70,4.36,-0.46,3.62,3.55,-0.21,1986,1591,0,0,231,55,5,28,26,20,17,1,2,1,2,0,8.7,7.4,1.18,0.262,0.317,1.34
244,62,김정수,청보,0,0,0,6,0,7.3,2.45,6.14,1.23,0.346,58.80,6.14,-0.42,5.48,5.35,-0.24,1986,1683,0,0,35,10,1,7,5,2,5,0,0,0,0,0,5.7,14.3,0.40,0.357,0.441,2.05
245,63,김상기,청보,0,2,0,5,1,6.3,2.84,7.11,1.42,0.350,51.70,7.11,-0.45,5.95,5.86,-0.24,1986,1621,0,0,29,8,1,7,5,2,5,0,0,0,0,0,6.9,17.2,0.40,0.348,0.464,2.05
246,64,전용권,삼성,1,0,0,11,1,28.7,2.20,3.77,0.63,0.239,70.20,3.77,-0.03,3.93,3.75,-0.25,1986,2260,1,1,117,24,2,13,12,7,12,1,1,2,0,0,6.0,10.3,0.58,0.240,0.319,1.26
247,65,장명부,빙그레,1,18,0,22,17,108.3,3.99,3.41,1.00,0.319,66.80,4.98,-1.65,3.99,3.98,-0.26,1986,2233,3,0,493,130,12,71,60,48,41,1,9,2,2,0,9.7,8.3,1.17,0.306,0.363,1.58
248,66,윤석환,OB,2,4,0,18,10,63.3,1.85,4.26,0.43,0.279,74.40,3.13,0.31,3.96,3.75,-0.27,1986,2092,0,0,281,66,3,28,22,13,30,0,1,1,0,0,4.6,10.7,0.43,0.276,0.353,1.52
249,67,김연철,빙그레,4,4,0,18,7,88.0,1.43,1.94,0.72,0.276,70.50,3.27,0.16,3.79,3.51,-0.29,1986,1655,4,0,350,91,7,40,32,14,19,0,2,0,0,0,4.0,5.4,0.74,0.280,0.320,1.25
250,68,이충우,롯데,0,1,0,3,1,10.0,1.80,3.60,1.80,0.350,46.50,9.90,-0.69,5.70,5.47,-0.30,1986,2197,0,0,49,16,2,12,11,2,4,0,0,0,0,0,4.1,8.2,0.50,0.364,0.417,2.00
251,69,이우상,청보,0,0,0,6,0,9.3,2.89,7.71,0.96,0.286,73.90,5.79,-0.22,5.47,5.40,-0.30,1986,2166,0,0,48,11,1,6,6,3,8,0,0,0,0,0,6.2,16.7,0.38,0.282,0.404,2.04
252,70,강상진,해태,1,0,0,10,0,22.7,3.57,4.37,0.79,0.275,64.30,5.16,-0.57,4.18,4.15,-0.30,1986,1510,0,0,107,24,2,15,13,9,11,0,2,1,0,0,8.4,10.3,0.82,0.276,0.343,1.54
253,71,정삼흠,MBC,1,2,1,18,12,52.7,3.59,6.15,0.51,0.309,69.40,4.61,-0.67,4.14,4.12,-0.32,1986,2278,0,0,241,57,3,32,27,21,36,1,2,1,1,0,8.7,14.9,0.58,0.288,0.396,1.77
254,72,오문현,빙그레,0,2,0,3,2,3.0,0.00,3.00,6.00,0.429,64.50,15.00,-0.37,12.18,11.74,-0.35,1986,2041,0,0,17,8,2,5,5,0,1,0,0,0,0,0,0.0,5.9,0.00,0.500,0.529,3.00
255,73,황기선,OB,0,0,0,11,1,24.3,2.22,5.55,0.37,0.305,69.70,4.44,-0.36,4.37,4.21,-0.37,1986,2468,0,0,108,26,1,14,12,6,15,0,2,1,2,0,5.6,13.9,0.40,0.295,0.394,1.68
256,74,최상주,해태,0,0,0,8,0,7.3,3.68,11.05,1.23,0.200,36.80,9.82,-0.74,6.67,6.71,-0.37,1986,2369,0,0,39,6,1,10,8,3,9,0,0,0,0,0,7.7,23.1,0.33,0.207,0.395,2.05
257,75,황규봉,삼성,3,5,2,13,8,50.0,1.80,3.60,0.72,0.257,67.80,3.96,-0.17,4.20,3.97,-0.38,1986,2467,1,0,208,48,4,26,22,10,20,0,1,2,0,0,4.8,9.6,0.50,0.261,0.332,1.36
258,76,박상열,OB,0,6,1,17,7,64.3,2.10,3.92,0.42,0.292,72.00,3.92,-0.07,3.99,3.80,-0.41,1986,1841,1,0,278,66,3,31,28,15,28,0,6,1,0,0,5.4,10.1,0.54,0.286,0.359,1.46
259,77,정은배,청보,2,9,3,31,11,105.3,3.50,3.76,0.77,0.310,63.30,4.53,-2.34,3.80,3.74,-0.44,1986,2292,0,0,469,120,9,70,53,41,44,2,5,2,0,0,8.7,9.4,0.93,0.295,0.363,1.56
260,78,민문식,빙그레,1,2,0,8,4,16.0,2.81,4.50,1.69,0.241,70.70,5.06,-0.26,5.50,5.39,-0.44,1986,1813,0,0,70,16,3,10,9,5,8,0,0,1,0,0,7.1,11.4,0.62,0.258,0.343,1.50
261,79,배경환,롯데,3,2,4,18,8,58.0,2.79,3.72,0.78,0.246,78.90,2.79,0.72,4.09,3.97,-0.48,1986,1892,1,0,244,51,5,22,18,18,24,0,3,1,0,0,7.4,9.8,0.75,0.245,0.321,1.29
262,80,정선두,청보,1,2,0,12,2,25.7,1.05,3.16,1.05,0.289,61.50,3.51,-0.71,4.72,4.41,-0.50,1986,2279,0,0,115,31,3,18,10,3,9,0,0,1,0,0,2.6,7.8,0.33,0.304,0.357,1.56
263,81,송진호,삼성,0,0,2,6,0,13.7,1.32,1.98,1.98,0.178,92.60,3.29,0.13,5.81,5.51,-0.58,1986,1963,0,0,54,11,3,5,5,2,3,0,1,0,0,0,3.7,5.6,0.67,0.220,0.264,1.02
264,82,강철원,청보,0,2,0,8,3,12.0,2.25,3.75,2.25,0.318,62.50,9.00,-0.69,7.01,6.82,-0.60,1986,1515,0,0,60,17,3,12,12,3,5,0,3,0,0,0,5.0,8.3,0.60,0.340,0.400,1.83
265,83,안창완,롯데,0,0,0,4,0,6.7,0.00,5.40,4.05,0.269,71.40,6.75,-0.44,10.13,9.72,-0.62,1986,2007,0,0,34,10,3,7,5,0,4,0,0,0,0,0,0.0,11.8,0.00,0.345,0.424,2.10
266,84,권기홍,삼성,0,2,0,5,2,12.7,4.97,2.13,3.55,0.317,50.00,9.24,-0.89,7.21,7.28,-0.63,1986,1545,0,0,60,18,5,15,13,7,3,0,2,1,0,0,11.7,5.0,2.33,0.346,0.375,1.66
267,85,임재준,빙그레,0,0,0,10,1,27.3,4.94,3.62,1.98,0.222,67.70,5.27,-0.54,4.95,5.04,-0.63,1986,2220,0,0,114,24,6,17,16,15,11,0,0,1,0,0,13.2,9.6,1.36,0.240,0.310,1.28
268,86,김재열,빙그레,2,8,1,25,8,89.7,2.41,3.91,0.50,0.279,67.90,3.41,-0.83,4.00,3.84,-0.66,1986,1680,1,0,393,91,5,49,34,24,39,0,8,4,0,0,6.1,9.9,0.62,0.272,0.346,1.45
269,87,천창호,빙그레,0,3,1,22,4,38.7,3.96,3.49,1.40,0.298,56.80,5.35,-1.63,4.62,4.61,-0.71,1986,2361,0,0,174,45,6,32,23,17,15,0,3,0,0,0,9.8,8.6,1.13,0.292,0.355,1.55
270,88,조호표,빙그레,0,0,0,2,0,2.3,3.86,7.72,19.29,0.406,38.50,54.00,-1.01,31.71,31.65,-0.74,1986,2334,0,0,40,18,5,15,14,1,2,0,0,0,0,0,2.5,5.0,0.50,0.474,0.500,8.57
271,89,노상수,롯데,3,5,0,16,10,49.3,2.92,3.65,1.46,0.328,71.80,5.66,-1.04,5.29,5.18,-1.10,1986,1747,1,0,228,65,8,34,31,16,20,0,7,1,0,0,7.0,8.8,0.80,0.328,0.390,1.72
272,1,최동원,롯데,14,12,2,32,25,224.0,6.55,2.45,0.24,0.318,74.20,2.81,4.78,1.96,2.24,8.14,1987,2366,14,4,920,218,6,80,70,163,61,2,7,3,0,0,17.7,6.6,2.67,0.262,0.311,1.25
273,2,선동열,해태,14,2,6,31,26,162.0,8.00,2.61,0.11,0.222,86.60,0.89,8.46,1.33,1.76,7.49,1987,1931,7,4,604,89,2,21,16,144,47,1,3,1,1,0,23.8,7.8,3.06,0.166,0.232,0.84
274,3,한희민,빙그레,13,8,4,30,22,206.0,5.07,1.92,0.31,0.248,72.10,2.36,5.94,2.33,2.45,6.44,1987,2448,14,3,798,156,7,64,54,116,44,2,4,0,1,0,14.5,5.5,2.64,0.217,0.260,0.97
275,4,윤학길,롯데,13,10,1,31,22,200.0,3.78,2.79,0.18,0.290,75.90,2.57,4.80,2.79,2.79,4.27,1987,2095,13,2,815,191,4,66,57,84,62,5,3,2,0,0,10.3,7.6,1.35,0.262,0.318,1.27
276,5,이상군,빙그레,18,11,2,33,29,246.7,3.10,1.90,0.47,0.265,76.60,2.55,6.26,3.28,3.21,3.89,1987,2133,24,3,1006,233,13,83,70,85,52,1,10,2,2,0,8.4,5.2,1.63,0.252,0.291,1.16
277,6,장호연,OB,15,8,6,32,21,188.3,3.49,3.54,0.05,0.276,74.00,2.82,4.22,3.10,3.08,3.36,1987,2254,13,2,784,170,1,67,59,73,74,1,10,6,0,0,9.3,9.4,0.99,0.249,0.321,1.30
278,7,김진욱,OB,4,7,6,32,19,150.3,4.85,3.47,0.18,0.264,74.70,2.57,3.48,2.71,2.83,3.18,1987,1706,7,2,601,120,3,49,43,81,58,2,3,1,1,0,13.5,9.7,1.40,0.229,0.304,1.18
279,8,김시진,삼성,23,6,0,33,11,193.3,5.26,4.47,0.42,0.271,76.40,3.12,3.76,3.32,3.49,2.86,1987,1651,7,3,818,166,9,73,67,113,96,1,7,5,1,0,13.8,11.7,1.18,0.238,0.328,1.36
280,9,김용수,MBC,9,5,24,52,50,141.0,4.53,2.30,0.38,0.237,81.80,1.98,4.76,2.67,2.74,2.80,1987,1661,0,0,560,109,6,34,31,71,36,6,4,0,0,0,12.7,6.4,1.97,0.215,0.265,1.03
281,10,김건우,MBC,12,7,0,26,6,163.3,3.09,2.81,0.28,0.295,78.30,2.64,4.23,3.24,3.17,2.71,1987,1565,6,1,686,170,5,54,48,56,51,0,3,1,1,0,8.2,7.4,1.10,0.274,0.329,1.35
282,11,최일언,OB,14,8,1,24,13,154.7,4.07,4.07,0.23,0.262,76.70,2.56,3.83,3.33,3.37,2.27,1987,2385,9,2,639,129,4,52,44,70,70,0,6,5,0,0,11.0,11.0,1.00,0.235,0.320,1.29
283,12,정삼흠,MBC,6,13,2,33,17,195.3,3.92,3.36,0.46,0.263,77.20,2.86,4.08,3.43,3.45,2.12,1987,2278,8,3,804,171,10,68,62,85,73,3,7,3,0,0,10.6,9.1,1.16,0.243,0.312,1.25
284,13,김정행,롯데,6,5,0,17,5,102.0,4.06,3.62,0.26,0.282,69.30,3.62,1.43,3.14,3.18,1.95,1987,1687,5,2,426,95,3,45,41,46,41,0,1,2,0,0,10.8,9.6,1.12,0.255,0.327,1.33
285,14,박동수,롯데,9,8,3,32,17,140.0,4.56,1.74,0.64,0.327,69.50,4.24,0.06,3.17,3.24,1.92,1987,1830,8,1,601,164,10,72,66,71,27,0,13,3,0,0,11.8,4.5,2.63,0.299,0.330,1.36
286,15,차동철,해태,9,11,0,35,12,159.7,2.76,2.20,0.45,0.280,71.70,3.16,2.30,3.40,3.29,1.91,1987,2350,7,2,653,157,8,65,56,49,39,2,5,0,0,0,7.5,6.0,1.26,0.267,0.312,1.23
287,16,계형철,OB,8,12,0,25,6,148.3,3.22,4.49,0.18,0.246,72.30,2.61,2.75,3.67,3.63,1.67,1987,1520,5,0,633,122,3,59,43,53,74,0,6,1,0,0,8.4,11.7,0.72,0.228,0.320,1.32
288,17,오명록,롯데,5,3,0,13,6,76.7,4.81,3.52,0.23,0.279,76.10,2.93,1.69,2.80,2.91,1.57,1987,2040,4,1,324,70,2,26,25,41,30,0,0,3,0,0,12.7,9.3,1.37,0.246,0.315,1.30
289,18,김정수c,해태,6,7,0,23,6,80.3,8.74,6.39,0.45,0.262,62.90,4.37,-0.53,2.91,3.45,1.49,1987,1685,2,0,357,59,4,48,39,78,57,0,4,4,1,0,21.8,16.0,1.37,0.204,0.332,1.44
290,19,문희수,해태,7,7,2,22,11,109.3,3.05,2.22,0.41,0.244,76.10,2.22,2.88,3.29,3.21,1.48,1987,1811,4,1,429,89,5,34,27,37,27,1,4,0,1,0,8.6,6.3,1.37,0.234,0.281,1.06
291,20,양상문,청보,12,13,0,36,19,209.3,3.61,2.84,0.77,0.253,73.60,3.10,2.77,3.79,3.77,1.35,1987,2012,13,3,863,188,18,87,72,84,66,2,5,2,0,0,9.7,7.6,1.27,0.245,0.302,1.21
292,21,윤석환,OB,7,8,2,25,10,105.0,3.51,3.26,0.43,0.330,72.60,3.94,0.58,3.44,3.42,1.10,1987,2092,3,2,457,124,5,50,46,41,38,1,2,1,0,0,9.0,8.3,1.08,0.306,0.364,1.54
293,22,신동수,해태,5,4,0,31,10,127.7,4.72,3.74,0.70,0.264,77.90,3.03,2.03,3.55,3.66,0.99,1987,1972,2,1,524,112,10,48,43,67,53,4,3,0,0,0,12.8,10.1,1.26,0.243,0.320,1.29
294,23,김용남,빙그레,4,5,0,16,7,87.7,3.80,1.95,0.82,0.331,69.50,4.72,0.02,3.53,3.53,0.97,1987,1659,4,0,383,111,8,48,46,37,19,0,2,0,0,0,9.7,5.0,1.95,0.315,0.347,1.48
295,24,유종겸,MBC,7,5,0,18,2,88.3,3.57,4.08,0.31,0.271,78.00,2.24,1.96,3.65,3.64,0.86,1987,2073,2,0,377,80,3,31,22,35,40,1,6,0,0,0,9.3,10.6,0.88,0.248,0.331,1.36
296,25,방수원,해태,3,2,3,23,15,65.7,3.97,2.74,0.27,0.314,60.30,4.25,-0.87,3.01,3.03,0.77,1987,1891,0,0,279,71,2,39,31,29,20,0,3,0,0,0,10.4,7.2,1.45,0.285,0.336,1.39
297,26,배경환,청보,4,7,2,26,15,104.7,2.58,2.41,0.60,0.297,67.80,3.70,0.01,3.61,3.48,0.73,1987,1892,5,0,449,118,7,54,43,30,28,4,1,2,0,0,6.7,6.2,1.07,0.292,0.333,1.39
298,27,진동한,삼성,12,6,2,28,7,144.0,2.13,3.06,0.50,0.283,76.30,2.81,2.55,4.01,3.84,0.63,1987,2344,2,0,596,144,8,56,45,34,49,2,7,0,0,0,5.7,8.2,0.69,0.277,0.337,1.34
299,28,양일환,삼성,8,4,1,18,9,86.0,3.66,3.56,0.42,0.234,82.00,1.88,2.63,3.66,3.65,0.61,1987,2017,4,2,333,62,4,23,18,35,34,0,6,0,0,0,10.5,10.2,1.03,0.217,0.299,1.12
300,29,박철순,OB,2,0,1,5,2,24.0,4.13,3.38,0.00,0.230,73.10,2.25,0.73,2.63,2.68,0.60,1987,1877,1,0,97,17,0,7,6,11,9,0,0,0,0,0,11.3,9.3,1.22,0.202,0.277,1.08
301,30,정은배,청보,1,3,3,22,11,60.7,4.01,2.82,0.59,0.386,66.10,5.19,-1.09,3.30,3.32,0.59,1987,2292,0,0,279,87,4,40,35,27,19,2,1,0,0,0,9.7,6.8,1.42,0.355,0.400,1.75
302,31,임호균,청보,9,10,0,27,13,173.7,1.97,4.15,0.41,0.293,73.50,3.78,1.67,4.13,3.96,0.57,1987,2232,11,1,748,185,8,80,73,38,80,9,6,8,0,0,5.1,10.7,0.48,0.286,0.363,1.53
303,32,이상윤,해태,2,4,0,12,0,42.0,2.79,4.07,0.21,0.302,61.90,4.93,-0.20,3.67,3.59,0.49,1987,2139,0,0,186,46,1,26,23,13,19,0,1,0,0,0,7.0,10.2,0.68,0.286,0.357,1.55
304,33,오영일,MBC,9,8,0,30,3,143.3,2.57,3.20,0.63,0.287,69.30,4.27,0.40,4.13,4.02,0.44,1987,2049,2,0,621,155,10,75,68,41,51,0,7,2,0,0,6.6,8.2,0.80,0.281,0.339,1.44
305,34,조병천,청보,4,4,0,19,12,78.3,4.37,1.84,1.03,0.300,64.60,4.71,-0.55,3.67,3.72,0.38,1987,2314,4,0,326,85,9,45,41,38,16,0,3,2,0,0,11.7,4.9,2.38,0.284,0.320,1.29
306,35,김대중,빙그레,2,6,0,13,4,75.7,3.69,3.21,0.71,0.237,65.10,4.16,0.22,3.95,3.95,0.36,1987,1590,3,0,317,63,6,39,35,31,27,1,6,4,2,0,9.8,8.5,1.15,0.229,0.295,1.19
307,36,노상수,롯데,4,2,0,13,5,66.0,3.41,2.73,0.68,0.295,71.60,4.23,0.35,3.87,3.83,0.34,1987,1747,3,1,277,70,5,32,31,25,20,0,5,1,0,0,9.0,7.2,1.25,0.281,0.333,1.36
308,37,김태원,MBC,0,2,0,10,7,32.0,4.50,1.97,0.56,0.407,50.70,8.44,-1.54,3.34,3.40,0.27,1987,1716,1,0,149,50,2,32,30,16,7,0,5,1,0,0,10.7,4.7,2.29,0.370,0.399,1.78
309,38,예병준,MBC,1,1,0,15,6,39.7,2.50,2.27,0.45,0.310,62.70,3.86,-0.30,3.54,3.40,0.27,1987,2038,0,0,170,46,2,23,17,11,10,0,1,1,1,0,6.5,5.9,1.10,0.303,0.339,1.41
310,39,이길환,MBC,4,4,0,20,8,73.3,2.45,3.31,0.37,0.309,67.40,4.42,-0.31,3.85,3.72,0.27,1987,2112,1,0,327,86,3,41,36,20,27,0,4,0,1,0,6.1,8.3,0.74,0.297,0.354,1.54
311,40,김성길,삼성,0,1,3,11,9,31.0,3.77,2.03,0.58,0.276,72.60,3.19,0.26,3.35,3.34,0.25,1987,1633,1,0,133,31,2,13,11,13,7,0,2,0,0,0,9.8,5.3,1.86,0.261,0.299,1.23
312,41,김기태b,삼성,7,5,0,17,7,95.0,4.36,4.55,0.76,0.274,66.80,4.74,-0.35,4.26,4.33,0.25,1987,1587,5,1,418,89,8,57,50,46,48,5,12,3,0,0,11.0,11.5,0.96,0.256,0.344,1.44
313,42,이충우,롯데,0,0,0,9,8,20.7,3.92,1.74,0.44,0.274,73.20,3.05,0.21,2.95,2.95,0.25,1987,2197,0,0,88,21,1,8,7,9,4,0,1,1,0,0,10.2,4.5,2.25,0.256,0.287,1.21
314,43,안창완,롯데,1,3,3,20,11,51.3,5.08,5.96,0.35,0.292,70.70,4.21,-0.06,3.67,3.83,0.21,1987,2007,0,0,225,47,2,26,24,29,34,1,1,1,1,0,12.9,15.1,0.85,0.257,0.370,1.58
315,44,이선희,MBC,1,3,0,14,3,38.3,4.93,5.40,0.23,0.311,67.60,5.40,-0.31,3.84,3.98,0.17,1987,2149,0,0,175,38,1,23,23,21,23,1,7,3,0,0,12.0,13.1,0.91,0.271,0.372,1.59
316,45,박상열,OB,3,3,1,16,6,58.7,2.30,3.99,0.31,0.321,70.60,3.84,-0.14,4.02,3.88,0.12,1987,1841,0,0,273,73,2,32,25,15,26,0,3,0,1,0,5.5,9.5,0.58,0.308,0.375,1.69
317,46,황기선,OB,0,0,0,2,2,1.7,10.80,0.00,0.00,0.429,0.00,0.00,-0.22,-0.63,0.07,0.11,1987,2468,0,0,9,3,0,3,0,2,0,0,0,1,1,0,22.2,0.0,0.00,0.375,0.333,1.80
318,47,이상훈,청보,0,0,0,4,2,6.0,7.50,7.50,0.00,0.421,46.20,10.50,-0.42,2.87,3.30,0.08,1987,2143,0,0,30,8,0,7,7,5,5,0,0,0,0,0,16.7,16.7,1.00,0.333,0.448,2.17
319,48,이척기,삼성,0,0,0,1,0,2.0,4.50,0.00,0.00,0.286,0.00,9.00,-0.11,1.42,1.47,0.07,1987,2196,0,0,8,2,0,2,2,1,0,0,0,0,0,0,12.5,0.0,0.00,0.250,0.250,1.00
320,49,장태수,삼성,1,1,2,26,13,63.7,2.26,3.68,0.28,0.322,68.90,4.66,-0.30,3.84,3.69,0.06,1987,2251,0,0,280,75,2,34,33,16,26,0,2,1,1,0,5.7,9.3,0.62,0.310,0.373,1.59
321,50,정선두,청보,0,0,0,5,3,9.7,1.86,3.72,0.00,0.389,55.60,7.45,-0.35,3.48,3.30,0.04,1987,2279,0,0,43,14,0,8,8,2,4,0,0,1,0,0,4.7,9.3,0.50,0.378,0.429,1.86
322,51,김대현,해태,9,5,3,31,13,142.3,3.22,3.35,0.76,0.241,80.60,2.78,2.97,4.06,4.01,0.04,1987,1591,3,0,580,121,12,48,44,51,53,2,4,3,0,0,8.8,9.1,0.96,0.237,0.306,1.22
323,52,김종석,롯데,1,4,0,13,3,42.7,3.38,4.22,0.63,0.302,72.90,4.22,0.05,4.14,4.11,0.03,1987,1695,1,1,192,48,3,22,20,16,20,1,2,3,0,0,8.3,10.4,0.80,0.287,0.362,1.59
324,53,김봉근,청,11,1,11,0,17,2.0,4.50,27.00,733.50,0.849,159.50,73.00,0.00,1025.09,1020.47,0.00,1987,1618,27,5,135,533,163,41,82,1,6,37,4,4,1,0,0.7,4.4,0.17,0.903,0.889,269.50
325,54,김신부,청,10,1,11,0,16,1.0,9.00,9.00,1188.00,0.808,158.10,51.00,0.00,1646.08,1638.47,0.00,1987,1653,27,4,114,440,132,33,54,1,1,32,5,13,1,0,0.9,0.9,1.00,0.880,0.856,441.00
326,55,김연철,빙그레,1,7,0,20,11,74.3,2.30,2.30,0.73,0.337,67.20,4.96,-0.76,4.13,3.97,-0.01,1987,1655,2,0,330,99,6,46,41,19,19,0,5,1,1,0,5.8,5.8,1.00,0.336,0.369,1.59
327,56,최진영,삼성,0,1,0,1,0,2.0,0.00,9.00,0.00,0.250,75.00,4.50,0.02,5.79,5.47,-0.03,1987,2391,0,0,10,2,0,1,1,0,2,0,0,0,1,0,0.0,20.0,0.00,0.250,0.400,2.00
